Element #,Number of Patients
41.0,6
42.0,6
44.0,2
45.0,2
47.0,4
48.0,11
49.0,6
50.0,2
51.0,1
54.0,12
55.0,11
57.0,6
59.0,4
60.0,5
61.0,12
62.0,1
63.0,3
67.0,6
68.0,1
70.0,4
71.0,1
72.0,19
73.0,22
74.0,4
75.0,3
76.0,3
78.0,2
80.0,1
82.0,11
83.0,11
84.0,2
85.0,2
86.0,6
88.0,5
89.0,2
90.0,3
91.0,4
92.0,2
93.0,14
94.0,3
95.0,14
96.0,3
98.0,5
99.0,2
100.0,6
101.0,3
102.0,9
103.0,55
104.0,64
105.0,16
106.0,5
107.0,38
108.0,25
109.0,18
110.0,26
111.0,76
112.0,57
113.0,40
114.0,21
115.0,149
116.0,46
117.0,9
118.0,6
119.0,19
120.0,37
121.0,32
122.0,15
123.0,92
124.0,72
165.0,10
166.0,4
167.0,6
168.0,7
169.0,7
171.0,2
172.0,3
173.0,10
174.0,10
175.0,3
177.0,1
178.0,20
180.0,6
181.0,2
183.0,2
184.0,4
185.0,7
186.0,8
187.0,3
189.0,8
191.0,5
192.0,1
194.0,8
195.0,4
196.0,2
197.0,9
198.0,4
199.0,4
200.0,4
201.0,1
206.0,10
208.0,3
209.0,18
210.0,2
211.0,4
212.0,9
213.0,8
214.0,2
215.0,3
216.0,1
217.0,8
220.0,3
221.0,11
222.0,2
224.0,13
225.0,44
226.0,63
227.0,57
228.0,4
229.0,6
230.0,21
231.0,32
233.0,52
234.0,105
235.0,58
236.0,3
237.0,34
238.0,100
239.0,122
240.0,4
241.0,61
242.0,26
243.0,32
244.0,6
245.0,46
246.0,73
247.0,97
248.0,12
249.0,3
250.0,5
251.0,2
252.0,1
253.0,1
256.0,44
258.0,2
259.0,29
260.0,34
261.0,32
262.0,3
263.0,5
264.0,54
265.0,60
269.0,55
270.0,9
271.0,15
272.0,30
273.0,33
274.0,23
277.0,27
278.0,16
279.0,8
280.0,9
281.0,11
282.0,5
283.0,6
284.0,2
285.0,26
286.0,22
287.0,7
288.0,6
289.0,4
290.0,6
291.0,10
292.0,6
293.0,21
294.0,38
295.0,32
296.0,3
297.0,2
298.0,8
299.0,11
300.0,9
301.0,16
302.0,41
303.0,39
304.0,14
305.0,8
306.0,3
307.0,13
308.0,4
309.0,15
310.0,23
311.0,34
312.0,18
313.0,4
314.0,8
315.0,7
316.0,2
317.0,6
318.0,13
319.0,18
320.0,6
321.0,4
322.0,3
323.0,7
324.0,2
325.0,10
326.0,12
327.0,3
328.0,6
329.0,10
330.0,11
331.0,15
332.0,1
333.0,12
334.0,11
335.0,10
336.0,13
337.0,8
338.0,8
339.0,8
340.0,4
341.0,8
342.0,22
343.0,35
344.0,11
345.0,9
346.0,5
347.0,5
348.0,10
349.0,31
350.0,41
351.0,48
352.0,6
353.0,2
354.0,3
355.0,4
356.0,4
357.0,27
358.0,27
359.0,22
360.0,5
361.0,4
362.0,5
363.0,8
365.0,19
366.0,23
367.0,11
370.0,9
371.0,5
372.0,2
373.0,9
374.0,6
375.0,12
376.0,5
377.0,2
378.0,4
379.0,9
380.0,11
381.0,2
382.0,4
383.0,4
384.0,2
387.0,21
388.0,2
389.0,4
390.0,4
392.0,4
393.0,2
394.0,2
395.0,4
396.0,3
397.0,6
399.0,2
400.0,1
401.0,3
402.0,8
403.0,3
408.0,4
409.0,5
410.0,7
411.0,1
412.0,3
413.0,2
415.0,3
417.0,2
418.0,4
420.0,2
421.0,1
424.0,2
425.0,5
426.0,6
427.0,8
428.0,5
429.0,2
431.0,3
435.0,1
436.0,1
438.0,5
440.0,3
441.0,2
442.0,9
443.0,8
444.0,10
445.0,3
447.0,2
449.0,1
450.0,1
451.0,8
452.0,3
453.0,8
454.0,6
456.0,4
457.0,7
458.0,12
459.0,8
460.0,9
461.0,4
462.0,3
463.0,8
464.0,5
465.0,3
466.0,12
467.0,9
468.0,3
469.0,14
470.0,9
472.0,33
473.0,34
474.0,54
475.0,45
476.0,47
477.0,25
478.0,1
479.0,13
480.0,6
481.0,2
482.0,15
483.0,23
484.0,15
485.0,23
486.0,7
487.0,4
488.0,35
489.0,41
490.0,45
491.0,40
492.0,52
493.0,24
494.0,1
495.0,12
496.0,10
497.0,13
498.0,24
499.0,22
500.0,21
501.0,11
502.0,5
503.0,6
504.0,48
505.0,46
506.0,57
507.0,60
508.0,66
509.0,28
510.0,4
511.0,11
512.0,9
513.0,12
514.0,19
515.0,16
516.0,19
517.0,9
518.0,2
519.0,1
520.0,16
521.0,51
522.0,60
523.0,60
524.0,44
525.0,10
527.0,8
528.0,14
529.0,11
530.0,16
531.0,10
532.0,3
534.0,4
536.0,1
537.0,34
538.0,96
539.0,85
540.0,40
541.0,4
543.0,3
544.0,3
545.0,2
546.0,6
547.0,20
548.0,9
549.0,10
553.0,18
554.0,128
555.0,115
556.0,26
559.0,6
560.0,7
561.0,12
562.0,21
563.0,27
564.0,13
565.0,7
566.0,27
567.0,17
568.0,9
569.0,20
570.0,46
571.0,32
572.0,31
573.0,55
574.0,37
575.0,128
576.0,446
577.0,504
578.0,163
579.0,37
580.0,61
581.0,22
582.0,37
583.0,46
584.0,24
585.0,2
586.0,10
587.0,10
588.0,23
589.0,129
590.0,17
591.0,214
592.0,292
593.0,276
594.0,114
595.0,33
596.0,78
597.0,27
598.0,23
599.0,6
600.0,4
601.0,72
602.0,36
603.0,10
604.0,330
605.0,255
606.0,221
607.0,237
608.0,19
609.0,39
610.0,58
671.0,2
676.0,2
677.0,2
678.0,1
683.0,4
684.0,16
685.0,10
686.0,1
690.0,1
695.0,1
696.0,2
698.0,8
705.0,35
706.0,22
707.0,28
708.0,8
709.0,12
710.0,4
711.0,5
712.0,48
713.0,54
714.0,30
715.0,62
716.0,57
717.0,25
719.0,29
720.0,94
721.0,98
722.0,16
723.0,54
724.0,188
725.0,70
727.0,2
728.0,50
729.0,85
730.0,80
731.0,12
732.0,106
733.0,60
736.0,26
737.0,3
738.0,2
741.0,2
745.0,27
746.0,11
805.0,3
820.0,5
821.0,11
822.0,7
829.0,1
834.0,1
836.0,2
844.0,18
845.0,26
855.0,25
856.0,61
857.0,11
859.0,8
860.0,8
861.0,6
862.0,8
863.0,83
864.0,56
865.0,93
866.0,5
867.0,7
868.0,36
869.0,54
870.0,66
871.0,78
872.0,70
873.0,22
874.0,2
876.0,138
877.0,72
878.0,43
879.0,71
880.0,59
881.0,8
884.0,67
885.0,63
886.0,24
889.0,2
890.0,11
891.0,3
892.0,2
893.0,1
894.0,92
895.0,81
896.0,2
898.0,2
899.0,7
903.0,3
904.0,2
905.0,7
906.0,5
907.0,11
908.0,10
909.0,11
910.0,7
911.0,4
912.0,17
913.0,8
914.0,8
915.0,8
916.0,9
917.0,1
918.0,1
919.0,2
920.0,3
921.0,13
922.0,22
923.0,46
924.0,23
925.0,7
926.0,10
927.0,7
928.0,24
929.0,24
930.0,42
931.0,27
932.0,8
933.0,1
934.0,2
936.0,13
937.0,21
938.0,15
939.0,24
940.0,41
941.0,5
942.0,7
943.0,9
944.0,16
945.0,43
946.0,19
947.0,24
948.0,19
949.0,10
958.0,9
959.0,25
960.0,26
961.0,15
962.0,18
963.0,3
965.0,32
966.0,17
967.0,12
968.0,12
969.0,8
970.0,25
973.0,22
974.0,21
975.0,53
976.0,11
977.0,9
987.0,13
988.0,40
989.0,67
990.0,39
991.0,29
992.0,16
994.0,18
995.0,122
997.0,1
998.0,30
1001.0,29
1002.0,9
1004.0,116
1005.0,19
1007.0,21
1008.0,4
1009.0,38
1010.0,61
1011.0,39
1012.0,12
1016.0,11
1017.0,26
1020.0,70
1021.0,29
1022.0,12
1023.0,11
1024.0,7
1025.0,13
1026.0,10
1027.0,15
1028.0,33
1029.0,50
1030.0,22
1031.0,8
1032.0,10
1033.0,3
1035.0,11
1036.0,10
1037.0,30
1038.0,42
1039.0,36
1040.0,9
1041.0,5
1042.0,8
1043.0,10
1044.0,6
1045.0,6
1046.0,39
1047.0,45
1048.0,23
1049.0,14
1050.0,13
1051.0,13
1052.0,14
1053.0,24
1054.0,33
1055.0,22
1056.0,4
1057.0,10
1058.0,22
1059.0,22
1060.0,6
1061.0,8
1062.0,18
1063.0,33
1064.0,19
1065.0,9
1066.0,18
1067.0,8
1068.0,19
1069.0,33
1070.0,32
1071.0,28
1072.0,28
1073.0,42
1074.0,106
1075.0,103
1076.0,33
1077.0,10
1078.0,11
1079.0,29
1080.0,23
1081.0,9
1082.0,8
1100.0,40
1101.0,11
1102.0,8
1104.0,36
1105.0,10
1112.0,5
1114.0,45
1115.0,19
1116.0,70
1118.0,30
1119.0,56
1120.0,17
1121.0,1
1122.0,36
1123.0,67
1124.0,24
1125.0,10
1126.0,8
1127.0,1
1130.0,4
1131.0,2
1132.0,1
1134.0,15
1135.0,6
1136.0,8
1137.0,3
1138.0,4
1139.0,20
1140.0,4
1141.0,7
1142.0,6
1143.0,4
1144.0,36
1146.0,7
1147.0,1
1148.0,5
1149.0,45
1150.0,3
1151.0,5
1152.0,3
1153.0,1
